"","Period","Value","Type"
"8110",2018-03-22,12.027,"Exports_Cumulative_billion"
"1449",2018-03-22,12.707,"Imports_Cumulative_billion"
"8210",2018-03-23,12.173,"Exports_Cumulative_billion"
"1450",2018-03-23,12.905,"Imports_Cumulative_billion"
"8310",2018-03-24,12.298,"Exports_Cumulative_billion"
"14511",2018-03-24,12.94,"Imports_Cumulative_billion"
"8410",2018-03-25,12.436,"Exports_Cumulative_billion"
"14521",2018-03-25,12.982,"Imports_Cumulative_billion"
"8510",2018-03-26,12.755,"Exports_Cumulative_billion"
"1453",2018-03-26,13.162,"Imports_Cumulative_billion"
"8610",2018-03-27,12.874,"Exports_Cumulative_billion"
"1454",2018-03-27,13.473,"Imports_Cumulative_billion"
"8710",2018-03-28,13.032,"Exports_Cumulative_billion"
"1455",2018-03-28,13.726,"Imports_Cumulative_billion"
"8810",2018-03-29,13.215,"Exports_Cumulative_billion"
"1456",2018-03-29,14.046,"Imports_Cumulative_billion"
"8910",2018-03-30,13.356,"Exports_Cumulative_billion"
"1457",2018-03-30,14.077,"Imports_Cumulative_billion"
"38",2018-03-31,450,"Weekly_Mean_Rent_Price"
"381",2018-03-31,420,"Weekly_Median_Rent_Price"
"3100",2018-03-31,1435,"RPI_Flow"
"4812",2018-03-31,1406,"RPI_Stock"
"1101",2018-03-31,999,"CPI_Food"
"1611",2018-03-31,1044,"CPI_Alcoholic_beverages_and_tobacco"
"3111",2018-03-31,988,"CPI_Clothing_and_footwear"
"4613",2018-03-31,1022,"CPI_Housing_and_household_utilities"
"617",2018-03-31,999,"CPI_Household_contents_and_services"
"764",2018-03-31,1007,"CPI_Health"
"912",2018-03-31,1017,"CPI_Transport"
"1061",2018-03-31,971,"CPI_Communication"
"1212",2018-03-31,1008,"CPI_Recreation_and_culture"
"1361",2018-03-31,947,"CPI_Education"
"1512",2018-03-31,1024,"CPI_Miscellaneous_goods_and_services"
"1661",2018-03-31,1011,"CPI_All_groups"
"3102",2018-03-31,996,"FPI_Food"
"4814",2018-03-31,928,"FPI_Fruit_and_vegetables"
"932",2018-03-31,997,"FPI_Meat_poultry_and_fish"
"1382",2018-03-31,1006,"FPI_Grocery_food"
"1831",2018-03-31,1005,"FPI_Non-alcoholic_beverages"
"2281",2018-03-31,1018,"FPI_Restaurant_meals_and_ready-to-eat_food"
"1105",2018-03-31,1043,"HPI_All_households"
"1615",2018-03-31,1055,"HPI_Beneficiary"
"3113",2018-03-31,1049,"HPI_Expenditure_quintile_lowest"
"4615",2018-03-31,1039,"HPI_Expenditure_quintile_highest"
"6110",2018-03-31,1050,"HPI_Maori"
"766",2018-03-31,1042,"HPI_Superannuitant"
"1106",2018-03-31,1524,"CEP_All_Groups"
"1107",2018-03-31,1113,"PPI_Inputs"
"1108",2018-03-31,1130,"PPI_Outputs"
"1023",2018-03-31,1162,"LCI_All_Sectors"
"1293",2018-03-31,4.4,"Unemployment_Rate"
"2714",2018-03-31,68,"Employment_Rate"
"1173",2018-03-31,1212.81,"Weekly_Earnings"
"9010",2018-03-31,13.517,"Exports_Cumulative_billion"
"1458",2018-03-31,14.142,"Imports_Cumulative_billion"
"17312",2018-03-31,2.3251,"NZAC_Total_Annual_change"
"3892",2018-03-31,5.5985,"NZAC_Annual_change_Card_transaction_spend"
"6072",2018-03-31,-2.2209,"NZAC_Annual_change_Electricity_grid_demand"
"8222",2018-03-31,54.5001,"NZAC_Annual_change_Manufacturing_index"
"10241",2018-03-31,10.1138,"NZAC_Annual_change_New_jobs_posted_online"
"12422",2018-03-31,2.6023,"NZAC_Annual_change_Traffic_index_(heavy)"
"14591",2018-03-31,4.4959,"NZAC_Annual_change_Traffic_index_(light)"
"9110",2018-04-01,13.691,"Exports_Cumulative_billion"
"1459",2018-04-01,14.204,"Imports_Cumulative_billion"
"9210",2018-04-02,13.905,"Exports_Cumulative_billion"
"1460",2018-04-02,14.236,"Imports_Cumulative_billion"
"9310",2018-04-03,14,"Exports_Cumulative_billion"
"14611",2018-04-03,14.457,"Imports_Cumulative_billion"
